股票代码,股票名称,行业,模型,当前标签,当前分数,风险调整后分数,PE,PB,股息率,ROE,FCF收益率,市值,资金信号,资金来源,金融模型状态,周期归一化状态,normalized PE,normalized FCF收益率,周期字段缺口,周期下一步必查,便宜原因,风险信号,数据缺口
601717.SH,中创智领,专用机械,普通企业,排雷待复核,12.0,12.0,7.78,1.27,6.27%,16.78%,2.66%,318.69亿元,弱信号,策略ETF弱信号,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,高股息但FCF覆盖不足；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
002582.SZ,好想你,食品,普通企业,排雷待复核,12.0,12.0,2.22,0.84,6.15%,3.34%,-0.06%,43.02亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,现金流弱于利润；高股息但FCF覆盖不足；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；FCF对分红覆盖不足；ROE偏低或缺失；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
600582.SH,天地科技,专用机械,普通企业,排雷待复核,12.0,12.0,15.00,0.83,5.74%,10.08%,-4.79%,216.45亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,高股息但FCF覆盖不足；扣非净利润5年CAGR为负；自由现金流为负；FCF对分红覆盖不足；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
601921.SH,浙版传媒,出版业,普通企业,排雷待复核,12.0,12.0,13.53,1.17,5.24%,10.61%,3.76%,169.78亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,高股息但FCF覆盖不足；营收5年CAGR为负；扣非净利润5年CAGR为负；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
601098.SH,中南传媒,出版业,普通企业,排雷待复核,12.0,12.0,12.09,1.17,5.09%,10.31%,-8.46%,194.15亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,现金流弱于利润；高股息但FCF覆盖不足；OCF/净利润低于0.8；自由现金流为负；FCF对分红覆盖不足；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600861.SH,北京人力,文教休闲,普通企业,排雷待复核,12.0,12.0,9.72,1.08,4.84%,6.02%,15.50%,81.80亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,现金流弱于利润；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；应收账款增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
600998.SH,九州通,医药商业,普通企业,排雷待复核,12.0,12.0,12.17,0.89,4.06%,9.26%,8.30%,245.57亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；分红支付率超过80%；FCF对分红覆盖不足；存货增速显著高于收入；存在价值陷阱信号；资产负债率偏高；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600729.SH,重百集团,百货,普通企业,排雷待复核,12.0,12.0,10.66,1.11,7.40%,17.49%,18.42%,90.56亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；营收5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600273.SH,嘉化能源,化工原料,普通企业,排雷待复核,12.0,12.0,11.50,0.92,6.27%,14.08%,5.70%,93.76亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；扣非净利润5年CAGR为负；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
002394.SZ,联发股份,纺织,普通企业,排雷待复核,12.0,12.0,12.55,0.70,5.33%,5.00%,-3.81%,30.36亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,高股息但FCF覆盖不足；经营现金流连续多年弱于净利润；自由现金流为负；FCF对分红覆盖不足；存货增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603202.SH,天有为,汽车配件,普通企业,排雷待复核,12.0,12.0,13.07,1.54,5.28%,46.30%,6.12%,105.68亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；现金流弱于利润；ROE连续下滑；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；存在价值陷阱信号；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600064.SH,南京高科,园区开发,普通企业,排雷待复核,12.0,12.0,7.50,0.67,3.92%,12.02%,6.99%,132.37亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,现金流弱于利润；营收5年CAGR为负；扣非净利润5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；应收账款增速显著高于收入；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
000623.SZ,吉林敖东,中成药,普通企业,排雷待复核,12.0,12.0,7.74,0.67,2.76%,6.68%,0.68%,212.51亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；存货增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
000568.SZ,泸州老窖,白酒,普通企业,排雷待复核,12.0,12.0,12.53,2.42,7.03%,30.42%,4.16%,1246.41亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；存货增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
000596.SZ,古井贡酒,白酒,普通企业,排雷待复核,12.0,12.0,16.29,1.76,6.89%,19.26%,0.62%,460.41亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；存货增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
603408.SH,建霖家居,家居用品,普通企业,排雷待复核,12.0,12.0,10.99,1.29,6.33%,14.86%,-2.81%,45.25亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；自由现金流为负；FCF对分红覆盖不足；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
002818.SZ,富森美,其他商业,普通企业,排雷待复核,12.0,12.0,10.75,1.43,5.87%,12.79%,14.18%,85.47亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；分红支付率超过80%；应收账款增速显著高于收入；存货增速显著高于收入；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高,未发现基础字段缺失；仍需单股深研补证据链。
603889.SH,新澳股份,纺织,普通企业,排雷待复核,12.0,12.0,11.34,1.48,4.52%,12.97%,2.85%,56.57亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,现金流弱于利润；高股息但FCF覆盖不足；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600655.SH,豫园股份,百货,普通企业,排雷待复核,12.0,12.0,-3.61,0.58,4.26%,2.69%,9.28%,172.77亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；资产负债率偏高；ROE连续下滑；营收5年CAGR为负；经营现金流连续多年弱于净利润；应收账款增速显著高于收入；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；资产负债率偏高；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
002154.SZ,报喜鸟,服饰,普通企业,排雷待复核,12.0,12.0,14.41,1.21,4.22%,11.94%,5.51%,58.81亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
000563.SZ,陕国投A,多元金融,普通企业,排雷待复核,12.0,12.0,11.33,0.81,3.04%,6.81%,-7.26%,151.37亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；ROE偏低或缺失；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603508.SH,思维列控,IT设备,普通企业,排雷待复核,12.0,12.0,14.17,2.01,11.97%,10.31%,7.81%,83.58亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,现金流弱于利润；商誉占净资产偏高；分红支付率过高；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；商誉/净资产超过20%；分红支付率超过80%；存在价值陷阱信号；分红支付率过高；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
300146.SZ,汤臣倍健,食品,普通企业,排雷待复核,12.0,12.0,23.24,1.47,4.45%,12.23%,6.37%,169.51亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,分红支付率过高；高股息但FCF覆盖不足；营收5年CAGR为负；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
002236.SZ,大华股份,IT设备,普通企业,排雷待复核,12.0,12.0,13.50,1.37,3.42%,13.59%,6.14%,527.01亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,现金流弱于利润；营收5年CAGR为负；扣非净利润5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
603049.SH,中策橡胶,汽车配件,普通企业,排雷待复核,12.0,12.0,10.12,1.67,2.67%,17.66%,-3.76%,426.57亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；应收账款增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
601966.SH,玲珑轮胎,汽车配件,普通企业,排雷待复核,12.0,12.0,16.63,0.76,2.18%,5.54%,1.29%,173.86亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB,经营现金流连续多年弱于净利润；应收账款增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
600057.SH,厦门象屿,仓储物流,普通企业,排雷待复核,11.5,11.5,13.57,1.12,5.50%,9.62%,49.76%,177.15亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；资产负债率偏高；分红支付率过高；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；分红支付率超过80%；存货增速显著高于收入；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；资产负债率偏高；分红支付率过高,未发现基础字段缺失；仍需单股深研补证据链。
000030.SZ,富奥股份,汽车配件,普通企业,排雷待复核,11.5,11.5,11.34,0.88,3.47%,8.67%,2.18%,75.33亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,ROE下滑；ROE连续下滑；扣非净利润5年CAGR为负；经营现金流连续多年弱于净利润；应收账款增速显著高于收入；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600566.SH,济川药业,中成药,普通企业,排雷待复核,11.0,11.0,14.30,1.66,7.73%,18.93%,4.44%,248.48亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；营收5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
603369.SH,今世缘,白酒,普通企业,排雷待复核,11.0,11.0,13.62,1.78,4.68%,22.69%,-1.01%,319.43亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；经营现金流连续多年弱于净利润；自由现金流为负；FCF对分红覆盖不足；存货增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
605377.SH,华旺科技,造纸,普通企业,排雷待复核,11.0,11.0,17.95,1.15,5.35%,13.50%,10.83%,45.81亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；存货增速显著高于收入；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
002432.SZ,九安医疗,医疗保健,普通企业,排雷待复核,11.0,11.0,13.61,1.44,2.22%,41.32%,-1.38%,312.10亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；营收5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；营收5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
002563.SZ,森马服饰,服饰,普通企业,排雷待复核,10.5,10.5,14.73,1.25,5.55%,9.19%,7.66%,145.75亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600694.SH,大商股份,百货,普通企业,排雷待复核,10.0,10.0,11.20,0.61,6.15%,6.57%,6.63%,56.02亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；存货增速显著高于收入；ROE偏低或缺失；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
300979.SZ,华利集团,服饰,普通企业,排雷待复核,10.0,10.0,13.51,2.33,6.41%,25.05%,2.76%,382.08亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；分红支付率超过80%；FCF对分红覆盖不足；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
000625.SZ,长安汽车,汽车整车,普通企业,排雷待复核,10.0,10.0,24.74,0.98,4.50%,10.33%,-3.74%,760.32亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；经营现金流连续多年弱于净利润；自由现金流为负；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；存货增速显著高于收入；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
603198.SH,迎驾贡酒,白酒,普通企业,排雷待复核,10.0,10.0,13.51,2.35,4.46%,25.84%,1.82%,269.12亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
688009.SH,中国通号,运输设备,普通企业,排雷待复核,10.0,10.0,14.29,1.09,3.46%,7.65%,-3.96%,521.02亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；营收5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；应收账款增速显著高于收入；存货增速显著高于收入；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603788.SH,宁波高发,汽车配件,普通企业,排雷待复核,10.0,10.0,15.42,1.54,5.34%,8.26%,0.87%,33.44亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息,分红支付率过高；高股息但FCF覆盖不足；经营现金流连续多年弱于净利润；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
603639.SH,海利尔,农药化肥,普通企业,排雷待复核,10.0,10.0,24.97,1.08,4.47%,11.12%,5.43%,38.04亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,ROE下滑；分红支付率过高；高股息但FCF覆盖不足；ROE连续下滑；扣非净利润5年CAGR为负；分红支付率超过80%；FCF对分红覆盖不足；应收账款增速显著高于收入；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600731.SH,湖南海利,农药化肥,普通企业,排雷待复核,10.0,10.0,13.39,0.96,3.60%,12.57%,0.55%,31.02亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,ROE下滑；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；应收账款增速显著高于收入；存货增速显著高于收入；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
600639.SH,浦东金桥,园区开发,普通企业,排雷待复核,8.5,8.5,10.52,0.73,3.30%,10.88%,-17.33%,109.66亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,现金流弱于利润；扣非净利润5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；应收账款增速显著高于收入；存货增速显著高于收入；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600827.SH,百联股份,超市连锁,普通企业,排雷待复核,8.5,8.5,11.82,0.71,3.25%,4.36%,-3.44%,145.41亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,ROE下滑；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；自由现金流为负；ROE偏低或缺失；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603113.SH,金能科技,化工原料,普通企业,排雷待复核,8.0,8.0,-6.37,0.56,8.32%,3.03%,-4.64%,41.07亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,分红支付率过高；高股息但FCF覆盖不足；经营现金流连续多年弱于净利润；自由现金流为负；分红支付率超过80%；FCF对分红覆盖不足；ROE偏低或缺失；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
002271.SZ,东方雨虹,其他建材,普通企业,排雷待复核,8.0,8.0,92.96,1.46,7.36%,7.54%,8.53%,300.02亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,分红支付率过高；高股息但FCF覆盖不足；营收5年CAGR为负；扣非净利润5年CAGR为负；经营现金流连续多年弱于净利润；分红支付率超过80%；FCF对分红覆盖不足；存货增速显著高于收入；ROE偏低或缺失；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
600894.SH,广日股份,运输设备,普通企业,排雷待复核,7.5,7.5,10.12,0.81,8.33%,7.80%,2.13%,71.97亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,ROE下滑；现金流弱于利润；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603515.SH,欧普照明,家用电器,普通企业,排雷待复核,7.0,7.0,15.28,1.95,4.79%,14.23%,2.36%,139.13亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；经营现金流连续多年弱于净利润；FCF对分红覆盖不足；应收账款增速显著高于收入；营收5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
000731.SZ,四川美丰,农药化肥,普通企业,排雷待复核,7.0,7.0,-22.86,0.85,4.63%,9.54%,0.36%,32.38亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,ROE下滑；高股息但FCF覆盖不足；ROE连续下滑；营收5年CAGR为负；FCF对分红覆盖不足；应收账款增速显著高于收入；营收5年CAGR为负；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
603599.SH,广信股份,农药化肥,普通企业,排雷待复核,6.5,6.5,15.72,1.00,2.39%,16.74%,2.95%,102.68亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB,ROE下滑；分红支付率过高；ROE连续下滑；营收5年CAGR为负；扣非净利润5年CAGR为负；经营现金流连续多年弱于净利润；分红支付率超过80%；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号；分红支付率过高；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600901.SH,江苏金租,多元金融,普通企业,排雷待复核,6.0,6.0,11.35,1.44,4.65%,14.75%,-2.71%,373.58亿元,弱信号,策略ETF弱信号,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息,ROE下滑；现金流弱于利润；资产负债率偏高；高股息但FCF覆盖不足；ROE连续下滑；OCF/净利润低于0.8；经营现金流连续多年弱于净利润；自由现金流为负；FCF对分红覆盖不足；存在价值陷阱信号；资产负债率偏高；FCF对分红覆盖不足；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
